# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
6.367107353667540437e+00 1.802467877290072761e-04 2.149999999999999967e-01 4.560000000000000164e-01 1.204665345255762077e-03 3.347222321536946332e-03
6.366971763836185794e+00 1.802031955831610312e-04 2.149036267723795357e-01 4.557322222142770607e-01 6.201737789979233639e-04 -8.996812184136614187e-05
6.367127769557417771e+00 1.805468688114380106e-04 2.148540128700597018e-01 4.557394196640243700e-01 1.036142727173228195e-03 1.086984280362912614e-03
6.366923811528211630e+00 1.790301843468629687e-04 2.147711214518858436e-01 4.556524609215953370e-01 -5.605649278095369544e-06 5.918439072161162817e-05
6.367487408529801662e+00 1.819928316334009939e-04 2.147715699038280912e-01 4.556477261703376080e-01 5.429551919178265962e-04 -1.279073735815927648e-04
6.367188718165111005e+00 1.797939882263685529e-04 2.147281334884746651e-01 4.556579587602241355e-01 7.812904101456296128e-04 8.275777396704596693e-04
6.367042369756830134e+00 1.824624854338217906e-04 2.146656302556630147e-01 4.555917525410504987e-01 6.057633505918147421e-04 1.466128818350398216e-03
6.367014605920569892e+00 1.785231991241482258e-04 2.146171691876156695e-01 4.554744622355824668e-01 -1.499413038175134499e-03 -1.246372960395092377e-03
6.367399960375683676e+00 1.797389935879995882e-04 2.147371222306696803e-01 4.555741720724140742e-01 -2.037348956207551693e-04 -4.390592867054010640e-03
6.367484217735829510e+00 1.794528694353354423e-04 2.147534210223193407e-01 4.559254195017783950e-01 1.154377393675076746e-03 -7.776783661483932519e-05
6.366902515290360220e+00 1.788984743121572118e-04 2.146610708308253346e-01 4.559316409287075822e-01 8.932196315925010647e-04 1.004088101552724765e-03
6.367322282026843361e+00 1.876498251372975105e-04 2.145896132602979345e-01 4.558513138805833642e-01 1.312302444489432673e-03 -6.165031152249866864e-04
6.367090745924445905e+00 1.787467524688990384e-04 2.144846290647387799e-01 4.559006341298013631e-01 1.423505135988989206e-03 1.472703914373596273e-03
6.366900318994794361e+00 1.802973256299935084e-04 2.143707486538596607e-01 4.557828178166514754e-01 1.006938532555068242e-04 -8.616050095611170771e-04
6.367085212740831501e+00 1.811289239878349929e-04 2.143626931455992202e-01 4.558517462174163648e-01 6.619526260465136147e-04 -4.253074337157158337e-04
6.367077900779976929e+00 1.813682938681593826e-04 2.143097369355154991e-01 4.558857708121136221e-01 -2.872543980458885926e-04 1.558920104116623189e-03
6.366869646963031038e+00 1.794752741840223681e-04 2.143327172873591702e-01 4.557610572037842922e-01 8.067632784047872345e-04 -2.995605896671804224e-03
6.367012239403370799e+00 1.797639204520752024e-04 2.142681762250867872e-01 4.560007056755180366e-01 -3.704542450577718595e-04 -9.515992438480224162e-04
6.367005726688003797e+00 1.840972452863977023e-04 2.142978125646914089e-01 4.560768336150258784e-01 4.608787129711799393e-04 2.006013133382111575e-04
6.367144656233788780e+00 1.787389952812917717e-04 2.142609422676537145e-01 4.560607855099588215e-01 -1.210577682542179900e-03 -1.998030274563689090e-03
6.366960490421726071e+00 1.805677253587980853e-04 2.143577884822570889e-01 4.562206279319239166e-01 9.927148880706226919e-04 3.761079359065888205e-03
6.366972230434893021e+00 1.804349032720357416e-04 2.142783712912114391e-01 4.559197415831986455e-01 -4.377356255247377161e-04 1.099909674451282626e-03
6.367112128373846325e+00 1.798915447170492744e-04 2.143133901412534181e-01 4.558317488092425429e-01 1.003368232943557814e-03 1.091070078729217130e-03
6.366990695988180349e+00 1.797502912272345532e-04 2.142331206826179335e-01 4.557444632029442055e-01 1.518435777114745871e-03 2.534820975341744997e-03
6.366981358971670169e+00 1.798102890851500252e-04 2.141116458204487538e-01 4.555416775249168659e-01 5.515262024857747747e-04 5.316561413337694830e-04
6.366839613962198996e+00 1.801511698477216655e-04 2.140675237242498918e-01 4.554991450336101644e-01 -3.042072371783888229e-04 -2.740810245427382618e-03
6.367062471141708535e+00 1.812182764124733124e-04 2.140918603032241629e-01 4.557184098532443550e-01 1.970064111844749006e-04 2.195801229731841886e-03
6.367078959067506538e+00 1.799241043994318965e-04 2.140760997903294049e-01 4.555427457548658077e-01 -2.416188138454344609e-04 2.018603062481361121e-03
6.366564362332897353e+00 1.778062142302118561e-04 2.140954292954370397e-01 4.553812575098672988e-01 -8.361560333014493617e-05 1.093961721210234828e-03
6.366878058126556716e+00 1.801153676079247381e-04 2.141021185437034513e-01 4.552937405721704800e-01 -8.452927247049045500e-05 2.471785531810155589e-03
6.366884901527354756e+00 1.790716288417510988e-04 2.141088808855010905e-01 4.550959977296256675e-01 -1.557584639044762081e-03 -4.570214429122642654e-04
6.367286661637711731e+00 1.831655196151536649e-04 2.142334876566246715e-01 4.551325594450586487e-01 -6.632652649329883214e-04 2.205703530933078582e-03
6.366934196157860271e+00 1.799710301404927105e-04 2.142865488778193106e-01 4.549561031625840024e-01 1.309698749452081756e-03 7.170917193377589509e-04
6.366794796760738784e+00 1.805840417545073403e-04 2.141817729778631441e-01 4.548987358250369817e-01 -7.108760691210135345e-04 4.636480532838049297e-04
6.367407409220835923e+00 1.817393801646719756e-04 2.142386430633928251e-01 4.548616439807742773e-01 1.425040352387440873e-03 2.659187270381834899e-03
6.367007180931119947e+00 1.785656611135251937e-04 2.141246398352018299e-01 4.546489089991437305e-01 -7.345144936721225174e-04 -3.298587181177481398e-04
6.367339423770720153e+00 1.806204681798618378e-04 2.141834009946955997e-01 4.546752976965931503e-01 1.186893694438140301e-03 -6.845625399876097443e-04
6.367262652376997956e+00 1.844639581400941465e-04 2.140884494991405484e-01 4.547300626997921591e-01 1.032648633270127767e-04 -1.907251245825136504e-03
6.367230505626896075e+00 1.807838269652044922e-04 2.140801883100743874e-01 4.548826427994581700e-01 2.275526433948016076e-04 -9.167444581237304017e-04
6.367074368052609401e+00 1.793223814705759004e-04 2.140619840986028033e-01 4.549559823561080685e-01 -8.185282673878190333e-04 2.175275159999046082e-03
6.366850587511851955e+00 1.788836433471525033e-04 2.141274663599938288e-01 4.547819603433081448e-01 -8.982698140869159768e-04 -1.670110005846936257e-03
6.367176996720624871e+00 1.863384263848622902e-04 2.141993279451207821e-01 4.549155691437758997e-01 3.047473384754084352e-05 -1.144052763635272640e-03
6.367091109517119207e+00 1.804153184762863718e-04 2.141968899664129788e-01 4.550070933648667215e-01 -2.138279775465434524e-04 -9.046464910511530259e-04
6.366732439672082577e+00 1.810506491253211859e-04 2.142139962046167023e-01 4.550794650841508138e-01 -6.082014891717334881e-05 2.405818655404345647e-04
6.366964766046946167e+00 1.806572279886580379e-04 2.142188618165300762e-01 4.550602185349075790e-01 1.267859150999584017e-03 -5.350611509413738531e-04
6.367147735238858353e+00 1.798927525027174646e-04 2.141174330844501095e-01 4.551030234269828889e-01 -2.260406084531041144e-04 9.149045077094796223e-04
