# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
6.009600668388305422e+00 1.922800846569696080e-04 3.452999999999999958e-01 3.029999999999999916e-01 7.954564118506367602e-04 2.176171864931575328e-03
6.009651017393903061e+00 1.912825573330460089e-04 3.452363634870519449e-01 3.028259062508054655e-01 -9.377636445151436883e-05 -7.384707956248347553e-04
6.009519403505747093e+00 1.926342401510905140e-04 3.452438655962080660e-01 3.028849839144554523e-01 6.972173061114971286e-04 -1.295758611519204351e-03
6.009522140209928587e+00 1.926370155334806219e-04 3.451880882117191462e-01 3.029886446033769887e-01 3.792703928695572726e-04 -1.381838821146174961e-03
6.009668266717569374e+00 1.925420726152676407e-04 3.451577465802895817e-01 3.030991917090686827e-01 7.304263860419268894e-05 8.126946227093866408e-04
6.009995010783731217e+00 1.926236062114118001e-04 3.451519031692012462e-01 3.030341761392519317e-01 6.058523460694686946e-04 4.343637627357566089e-03
6.009541346843155551e+00 1.919426108034782573e-04 3.451034349815156888e-01 3.026866851290633265e-01 9.017918856102368234e-04 -3.965117123527761036e-04
6.009692634322958860e+00 1.914275275590941836e-04 3.450312916306668698e-01 3.027184060660515486e-01 -7.840394999902855488e-05 -4.698342159770163020e-04
6.009456517730574987e+00 1.906910852319136705e-04 3.450375639466667921e-01 3.027559928033297099e-01 -2.876149096664448734e-04 1.145266281810108921e-03
6.009110986467915083e+00 1.918879731831852026e-04 3.450605731394401077e-01 3.026643715007849011e-01 -2.212443561688814614e-05 -5.556632487468959880e-04
6.009487361275637873e+00 1.916786156557752786e-04 3.450623430942894587e-01 3.027088245606846528e-01 6.284501807840570109e-05 2.472277937926037339e-03
6.009787047245596092e+00 1.919238224184734230e-04 3.450573154928431863e-01 3.025110423256505698e-01 4.554278731916383007e-04 9.453419380633930639e-04
6.009448942497868096e+00 1.925769429777208857e-04 3.450208812629878552e-01 3.024354149706054984e-01 -7.388545775199871794e-04 -5.651847345689019718e-03
6.009275859530105457e+00 1.921327199954835313e-04 3.450799896291894542e-01 3.028875627582606200e-01 1.741949695599487042e-04 1.892529599700764958e-03
6.009256301683653767e+00 1.910525225868018348e-04 3.450660540316246583e-01 3.027361603902845588e-01 -3.065370179911042214e-05 6.722579826146101193e-04
6.009485907582297948e+00 1.915752703765911057e-04 3.450685063277685871e-01 3.026823797516753900e-01 -1.585740427856308088e-04 -4.809592812904384118e-03
6.009755656340758811e+00 1.910035703387339778e-04 3.450811922511914376e-01 3.030671471767077407e-01 2.712407187743792747e-04 7.809611624054467764e-04
6.009759130572890129e+00 1.916892066541662327e-04 3.450594929936894872e-01 3.030046702837153050e-01 4.023482880199935065e-04 7.318323724803120793e-04
6.009631680582256053e+00 1.915901739119086917e-04 3.450273051306478878e-01 3.029461236939168800e-01 2.344759941763640838e-04 4.900506223037837117e-03
6.009655385539761419e+00 1.908071684415234292e-04 3.450085470511137786e-01 3.025540831960738530e-01 1.743194921743906618e-04 6.751005088290184001e-04
6.009259979455938705e+00 1.928868703454810927e-04 3.449946014917398274e-01 3.025000751553675316e-01 1.548619010804941354e-05 5.031883354433830391e-04
6.009897388890666825e+00 1.915441053559301782e-04 3.449933625965311834e-01 3.024598200885320609e-01 7.897455134298069250e-04 3.274311488610237575e-04
6.009652135918760685e+00 1.911816223905809793e-04 3.449301829554567989e-01 3.024336255966231790e-01 -4.793637486955048556e-04 -1.566917262607603117e-03
6.009863491385175394e+00 1.919573403868644521e-04 3.449685320553524392e-01 3.025589789776317873e-01 7.776683297322505321e-04 6.515185280164813818e-03
6.009757914045540161e+00 1.920787078105462445e-04 3.449063185889738592e-01 3.020377641552186021e-01 1.607977750950340123e-04 -3.740578513600211884e-03
6.009821387618669242e+00 1.919415445139445106e-04 3.448934547669662565e-01 3.023370104363066191e-01 2.692121192637841887e-04 -2.803148824170875741e-04
6.009658379889448732e+00 1.908975853534692669e-04 3.448719177974251537e-01 3.023594356268999861e-01 -1.617944889176214929e-04 4.947955822842686757e-04
6.009688135818270105e+00 1.926819332403087828e-04 3.448848613565385635e-01 3.023198519803172446e-01 -1.710457553372179702e-04 -5.455208640370300642e-03
6.009475780285890245e+00 1.915231902486328223e-04 3.448985450169655409e-01 3.027562686715468687e-01 9.613865259439079462e-04 -1.765544155318820869e-04
6.009742880305405599e+00 1.923271991824497529e-04 3.448216340948900283e-01 3.027703930247894193e-01 9.449689919449609813e-04 -4.700595468420942780e-06
6.009758539601821603e+00 1.933102709845379544e-04 3.447460365755344314e-01 3.027707690724268930e-01 6.157687693075786228e-04 -9.877076934117212659e-04
6.009935487164422163e+00 1.906146737631254798e-04 3.446967750739898251e-01 3.028497856878998307e-01 1.021944306955901858e-04 3.955652783105279013e-03
6.009580132901551686e+00 1.912032942108335442e-04 3.446885995195341779e-01 3.025333334652514083e-01 4.024007793645977839e-04 -5.421884186063151943e-03
6.009623800223023338e+00 1.911848377183480909e-04 3.446564074571850100e-01 3.029670842001364606e-01 2.950116595457075164e-04 -1.030550667024954237e-03
6.009518016218702741e+00 1.915108521618332459e-04 3.446328065244213534e-01 3.030495282534984569e-01 7.218619479942843834e-04 -5.989643447890102834e-04
6.009807713260530981e+00 1.920060886994419066e-04 3.445750575685818107e-01 3.030974454010815777e-01 1.577862196455725790e-03 6.579927003258489136e-03
6.009733366143239941e+00 1.907677524434097966e-04 3.444488285928653526e-01 3.025710512408208985e-01 3.819575766783600557e-05 -3.305000095821241778e-03
