# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
3.582456923648918323e+00 1.096004163326499357e-04 1.661999999999999866e-01 3.370000000000000218e-01 9.243953158488692505e-04 -1.750168454606182151e-04
3.582303519271218484e+00 1.105309905656215398e-04 1.661260483747320771e-01 3.370140013476368712e-01 1.399622551190304659e-03 2.092398254660565455e-04
3.582508396046113930e+00 1.110435308122894688e-04 1.660140785706368527e-01 3.369972621615995867e-01 3.205543608331140170e-03 -5.241915790321627355e-04
3.582424448499069491e+00 1.100931481391007630e-04 1.657576350819703614e-01 3.370391974879221597e-01 8.255049532834845020e-04 -1.029590190881890521e-03
3.582546504571594070e+00 1.125064372429759125e-04 1.656915946857076827e-01 3.371215647031927110e-01 7.876699736897306873e-04 2.061929249563831945e-03
3.582447034342553405e+00 1.102943452988875442e-04 1.656285810878125042e-01 3.369566103632276044e-01 1.315598163742492943e-03 -4.200320091740649699e-04
3.582307281026761103e+00 1.099585908827639078e-04 1.655233332347131048e-01 3.369902129239615296e-01 1.138191452199066589e-03 -2.922860575793606152e-03
3.582429411609316716e+00 1.106873532805333055e-04 1.654322779185371795e-01 3.372240417700250181e-01 9.108281684433449125e-04 1.504922764183902256e-03
3.582375790018211159e+00 1.101526961777343690e-04 1.653594116650617118e-01 3.371036479488903059e-01 1.540620475637410674e-03 2.453632852450482460e-04
3.582489150029540603e+00 1.098748777229744192e-04 1.652361620270107190e-01 3.370840188860707021e-01 1.271120497747801892e-03 -1.095090818026278612e-03
3.582372842079419417e+00 1.105949885847062620e-04 1.651344723871908948e-01 3.371716261515128044e-01 6.114761585962469326e-04 -7.637954269057444260e-04
3.582413681256625626e+00 1.095794135928387448e-04 1.650855542945031951e-01 3.372327297856652639e-01 7.999098716737761431e-04 -3.889759625508304453e-05
3.582511118970545638e+00 1.131320246616152118e-04 1.650215615047692930e-01 3.372358415933656706e-01 5.792643698043775657e-04 1.147044459415269557e-03
3.582549243138202222e+00 1.104142218627849833e-04 1.649752203551849428e-01 3.371440780366124490e-01 1.422506690218483310e-03 4.736677716721259825e-04
3.582628404068442851e+00 1.127268082809357037e-04 1.648614198199674641e-01 3.371061846148786789e-01 1.207554634063967569e-03 -6.934203433672790932e-04
3.582161341466505000e+00 1.103290376764806219e-04 1.647648154492423467e-01 3.371616582423480613e-01 -1.847106911867512919e-04 -2.668371390512902074e-03
3.582162362218906715e+00 1.110604752440982494e-04 1.647795923045372868e-01 3.373751279535890935e-01 4.688093024896033425e-04 -1.067286703460012951e-04
3.582322114994635154e+00 1.103649144746996077e-04 1.647420875603381185e-01 3.373836662472167736e-01 1.544372763007117793e-03 1.180575637249603291e-05
3.582357607355358464e+00 1.102847081532711064e-04 1.646185377392975491e-01 3.373827217867069739e-01 2.995368397762376505e-05 3.272592863368117833e-04
