# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
1.027315993457481547e+01 1.973738235948809428e-04 2.069999999999999896e-01 5.070000000000000062e-01 -1.276116634585378051e-03 3.867199893647921272e-05
1.027354855576483139e+01 2.023222857973974178e-04 2.071020893307668198e-01 5.069969062400850879e-01 -5.374305445116078772e-04 -1.253341963547427440e-03
1.027325889528697367e+01 1.986646361056306875e-04 2.071450837743277484e-01 5.070971735971688821e-01 -2.540325283462152584e-03 -1.268697324974255025e-03
1.027346903231052266e+01 1.980474582989041399e-04 2.073483097970047206e-01 5.071986693831668225e-01 1.001803084932362118e-04 5.294793936627684161e-04
1.027349691123921183e+01 1.959038613727591828e-04 2.073402953723252617e-01 5.071563110316738010e-01 2.255583808619121555e-03 -1.752363587570471011e-04
1.027332105207003821e+01 1.958465048965318724e-04 2.071598486676357320e-01 5.071703299403743648e-01 -1.191242660070201795e-05 1.427057583214264014e-04
1.027347366826646002e+01 1.968854988358809100e-04 2.071608016617637882e-01 5.071589134797086507e-01 -2.062084902831884392e-03 -2.058849801755968656e-03
1.027336315812994805e+01 1.957167465706051630e-04 2.073257684539903389e-01 5.073236214638491282e-01 3.153918548548517286e-03 -3.271301451945873850e-04
1.027347249650528482e+01 1.965119373981457761e-04 2.070734549701064575e-01 5.073497918754646951e-01 -1.639673286035758576e-03 3.673147119798158568e-04
1.027362282628494050e+01 1.978588186315443634e-04 2.072046288329893182e-01 5.073204066985063099e-01 4.115329765852493438e-03 3.556507977009459431e-03
1.027339828073465888e+01 1.972817558373580853e-04 2.068754024517211187e-01 5.070358860603455531e-01 2.786039310365139975e-03 3.169983386897001765e-04
1.027333700971186126e+01 1.959848667379033584e-04 2.066525193068919075e-01 5.070105261932503771e-01 1.205912525392704993e-03 -2.622953054753907054e-03
1.027333519530949069e+01 1.976804795780321713e-04 2.065560463048604911e-01 5.072203624376306896e-01 -5.434518612901229062e-04 -4.303100098468348056e-05
1.027299980092072929e+01 1.975086456596468075e-04 2.065995224537637009e-01 5.072238049177094643e-01 3.054765329579822719e-04 -7.110662281206713313e-04
1.027307838394686001e+01 1.966245885840755007e-04 2.065750843311270624e-01 5.072806902159591180e-01 -1.854857956118393996e-03 1.786630754452289476e-03
1.027335583844961597e+01 1.975209773531183240e-04 2.067234729676165339e-01 5.071377597556029349e-01 -3.064939413377487220e-03 -1.444538000328065902e-03
1.027307082769595681e+01 1.966657621898972171e-04 2.069686681206867329e-01 5.072533227956291801e-01 1.861781839807008510e-05 -9.318558369386663624e-04
1.027332584612895872e+01 2.027271457884079696e-04 2.069671786952148873e-01 5.073278712625842735e-01 6.532138563386523898e-03 2.278697053270661854e-03
1.027306839152615758e+01 1.967862050354465570e-04 2.064446076101439653e-01 5.071455754983226205e-01 -8.203320689403880176e-04 -1.602793808785918156e-03
1.027299140558915447e+01 1.967612374238927972e-04 2.065102341756591964e-01 5.072737990030254940e-01 8.564551734480118110e-04 1.536141525093625898e-03
1.027302763187334733e+01 1.958087084940598132e-04 2.064417177617833554e-01 5.071509076810180039e-01 -6.861764489940468418e-04 -2.510601859739836073e-03
1.027325397940827223e+01 1.962969105251183754e-04 2.064966118777028792e-01 5.073517558297971908e-01 -1.548732697642662970e-04 -2.957518674406855574e-03
1.027340077736865354e+01 1.986143098188096923e-04 2.065090017392840205e-01 5.075883573237497393e-01 3.334284137679332637e-03 -2.177992897145486224e-04
1.027360327791225281e+01 1.987563084157859851e-04 2.062422590082696738e-01 5.076057812669269032e-01 -3.410174009843558018e-03 -4.745471926526079187e-03
1.027331204038255308e+01 1.965925779850838026e-04 2.065150729290571585e-01 5.079854190210489895e-01 8.915630900219183612e-04 5.218090493031013466e-03
1.027285394310250943e+01 1.974912764336164456e-04 2.064437478818554050e-01 5.075679717816065084e-01 -6.889198544968165886e-04 1.001333593819708767e-03
1.027354809975188665e+01 1.982462277960991891e-04 2.064988614702151504e-01 5.074878650941009317e-01 2.386819275557172659e-03 -2.473237614708523324e-04
1.027322111425287687e+01 2.020865999852837621e-04 2.063079159281705766e-01 5.075076509950185999e-01 -1.453252806982163530e-03 5.700091065818924108e-04
1.027369261005307877e+01 1.959266661932858062e-04 2.064241761527291497e-01 5.074620502664920485e-01 -3.870376730219504246e-03 4.714935997185420460e-04
1.027336286532897169e+01 1.959065192172918868e-04 2.067338062911467100e-01 5.074243307785145651e-01 -2.281709932105968619e-03 1.839410401771601484e-04
1.027337596569831391e+01 1.960589899930018413e-04 2.069163430857151875e-01 5.074096154953003923e-01 -1.943860716835388086e-03 -2.209522698137789121e-03
1.027296665254266905e+01 1.982977753469946454e-04 2.070718519430620186e-01 5.075863773111514154e-01 3.098441148097208064e-03 8.311459964716049224e-04
1.027329465807421904e+01 1.966208399471450381e-04 2.068239766512142419e-01 5.075198856314336870e-01 -7.144135949488371632e-04 1.840903784966485329e-03
1.027355142334604743e+01 1.966631563243495398e-04 2.068811297388101489e-01 5.073726133286363682e-01 1.015905226608992962e-03 -3.761652322964436647e-04
1.027309877328226762e+01 1.974579221309924449e-04 2.067998573206814295e-01 5.074027065472200837e-01 2.532078013928185101e-03 1.167334851004397933e-03
1.027333770435896021e+01 1.993577962917361039e-04 2.065972910795671746e-01 5.073093197591397319e-01 -2.785186481446543915e-03 7.762057663285303359e-04
1.027326110990255614e+01 2.006602795185742139e-04 2.068201059980828982e-01 5.072472232978334494e-01 1.844970398678924268e-04 -3.062934794684224471e-04
1.027364522109612999e+01 1.974682972740886061e-04 2.068053462348934668e-01 5.072717267761909232e-01 1.226757007088963292e-03 1.181964925933698396e-03
1.027315842135487500e+01 1.976588333394321524e-04 2.067072056743263497e-01 5.071771695821162274e-01 -6.897083792978263598e-04 -1.381207503925452112e-03
1.027332593564289809e+01 1.963392023222198146e-04 2.067623823446701758e-01 5.072876661824302635e-01 -6.502872906821721699e-04 -8.284427366334056212e-04
1.027327516160305798e+01 1.976563268572426263e-04 2.068144053279247496e-01 5.073539416013609360e-01 -3.380081992077065955e-03 -3.602374398781193598e-03
1.027373244983384026e+01 1.976300484773542822e-04 2.070848118872909149e-01 5.076421315532634315e-01 6.089331705538825190e-04 2.097817919377575890e-03
1.027344159331135920e+01 2.006797704490882294e-04 2.070360972336466043e-01 5.074743061197132254e-01 1.643076608104365515e-03 -4.810111420283646479e-04
1.027305366971159195e+01 1.977642132733950780e-04 2.069046511049982551e-01 5.075127870110754946e-01 1.522878179116559988e-03 -7.525626344317969422e-04
1.027350825706610316e+01 1.978534418682088023e-04 2.067828208506689303e-01 5.075729920218300384e-01 1.556019313397882580e-03 1.283885886493862927e-03
1.027316596692585193e+01 1.967138936492969492e-04 2.066583393055970996e-01 5.074702811509105294e-01 -1.312855602009221911e-04 -7.562190873500184178e-04
1.027340463826246442e+01 1.966772467062942020e-04 2.066688421504131734e-01 5.075307786778985308e-01 -1.111061820324721339e-03 -5.195921914946666220e-04
1.027318588226206764e+01 1.967907576192811855e-04 2.067577270960391511e-01 5.075723460532181042e-01 -2.464487103281953750e-03 -2.543574417757099582e-03
1.027350786241931502e+01 1.959267058702622458e-04 2.069548860643017074e-01 5.077758320066386721e-01 5.593189911223817035e-04 1.222107037790465256e-03
1.027350745181003511e+01 1.967606085013700939e-04 2.069101405450119169e-01 5.076780634436154349e-01 -2.222918737970757958e-04 -1.097829382956660993e-03
1.027305451909271738e+01 1.962836444547633760e-04 2.069279238949156829e-01 5.077658897942519678e-01 -2.959286149462059257e-04 1.649772407574800820e-03
1.027335331995003465e+01 1.967853340979056119e-04 2.069515981841113794e-01 5.076339080016459837e-01 4.930337027531095373e-04 1.571116214904577429e-03
1.027336941478589516e+01 1.970013065703593829e-04 2.069121554878911307e-01 5.075082187044536175e-01 -1.879527822268300735e-03 -1.284138484436425642e-03
1.027355364676513894e+01 1.996593666017506185e-04 2.070625177136725947e-01 5.076109497832085315e-01 6.167956811964359076e-04 2.085269734664052521e-03
1.027299806722285069e+01 1.989345875406302192e-04 2.070131740591768799e-01 5.074441282044354073e-01 -2.575382396230452287e-03 -2.216100369878404308e-03
1.027320813497524732e+01 1.981044990529363177e-04 2.072192046508753160e-01 5.076214162340256797e-01 1.044753084045169089e-03 1.264520044230721396e-03
1.027332448850826907e+01 1.986694989953034698e-04 2.071356244041517025e-01 5.075202546304872220e-01 2.870819137967827849e-03 -1.092851142914241791e-03
1.027356405364734471e+01 1.979701203706820669e-04 2.069059588731142763e-01 5.076076827219203613e-01 -9.872220374518292374e-04 -1.129370197361367900e-03
1.027305685998149976e+01 2.018778091370331104e-04 2.069849366361104226e-01 5.076980323377092708e-01 5.381606271726013802e-04 -1.476340116823848586e-03
1.027326993729988303e+01 1.965360249571487371e-04 2.069418837859366145e-01 5.078161395470551787e-01 1.193325616100082698e-03 2.808381083241329179e-04
1.027330749653592257e+01 1.972256141157497993e-04 2.068464177366486079e-01 5.077936724983892480e-01 1.427249252117235084e-03 8.872659051917252153e-04
1.027328223746641100e+01 2.017398243355729610e-04 2.067322377964792290e-01 5.077226912259739100e-01 1.878746225258964625e-03 4.223405625225495354e-04
1.027356490986098869e+01 1.998857076143047585e-04 2.065819380984585119e-01 5.076889039809721060e-01 2.675335508683929220e-04 2.669921705944488643e-03
1.027327322101028528e+01 1.988920968181934288e-04 2.065605354143890404e-01 5.074753102444965469e-01 -6.705177035826181096e-03 -4.202630954353026027e-03
1.027313252183981440e+01 1.968333801694563173e-04 2.070969495772551350e-01 5.078115207208447890e-01 1.051044762334640836e-03 -1.742348665345616393e-03
1.027307925922732501e+01 2.015326647635240205e-04 2.070128659962683637e-01 5.079509086140724383e-01 3.624490929610146416e-03 2.845005120377663409e-03
1.027324307801859860e+01 1.970793667560205879e-04 2.067229067218995520e-01 5.077233082044422252e-01 1.258196036246772564e-03 2.728767434234668620e-03
1.027293065813090323e+01 1.970485865471772980e-04 2.066222510389998102e-01 5.075050068097034517e-01 -1.758462708778551825e-03 -8.259936734589244959e-04
1.027360747746050507e+01 1.965943355844953545e-04 2.067629280557020943e-01 5.075710863035801657e-01 1.851342190661852966e-04 -1.548800376838243903e-03
1.027348318736670763e+01 1.961502729431298733e-04 2.067481173181767995e-01 5.076949903337272252e-01 -7.395325241077442850e-04 3.792935743263114458e-04
1.027349624131852757e+01 1.958243095800286189e-04 2.068072799201054190e-01 5.076646468477811203e-01 -1.559061146849671569e-03 -7.006075719573345850e-05
1.027294163148296491e+01 1.992119925629786401e-04 2.069320048118533928e-01 5.076702517083567789e-01 -4.958788935027769185e-04 9.076480012026876291e-04
1.027323682880477840e+01 1.969775541203809088e-04 2.069716751233336149e-01 5.075976398682605639e-01 -1.219545886499417975e-03 -9.970992920216303901e-04
1.027345796503298558e+01 1.973278510938772216e-04 2.070692387942535684e-01 5.076774078116222944e-01 3.229339462507141000e-03 1.759702072945401380e-03
1.027325528419704703e+01 1.954905626276705409e-04 2.068108916372529971e-01 5.075366316457866622e-01 -1.903330115737844391e-03 -2.896724460299537462e-03
1.027342626165700779e+01 1.968448914942194845e-04 2.069631580465120246e-01 5.077683696026106253e-01 2.004100352337445656e-03 1.068478283627882774e-03
1.027355014433267044e+01 1.978386415291437579e-04 2.068028300183250290e-01 5.076828913399203946e-01 -8.430914633095197867e-04 2.331899295882067236e-03
1.027328786806734051e+01 1.976301593620557139e-04 2.068702773353897906e-01 5.074963393962498293e-01 -4.065867642566444741e-04 -1.581831554631207837e-04
1.027307509562786869e+01 1.974059809656327511e-04 2.069028042765303221e-01 5.075089940486868789e-01 -4.081233129227257450e-05 -6.562171250834580860e-04
1.027344884500423916e+01 1.976330383710397541e-04 2.069060692630337039e-01 5.075614914186935556e-01 -1.441886610109577305e-04 3.905412881977098918e-04
1.027353369174487163e+01 1.972456095029352370e-04 2.069176043559145806e-01 5.075302481156377388e-01 2.820997480057485084e-03 1.891094747463739406e-03
1.027345147042601070e+01 1.956986854135246928e-04 2.066919245575099817e-01 5.073789605358406396e-01 1.046466557852454571e-03 1.301070540193904890e-03
1.027312803001141539e+01 1.976881615792016060e-04 2.066082072328817854e-01 5.072748748926251272e-01 2.154294875822415634e-03 9.587427740598285534e-04
1.027328589810933934e+01 1.989119745358908621e-04 2.064358636428159921e-01 5.071981754707003409e-01 1.610838751275877950e-03 2.157872103225599587e-04
1.027326841989367168e+01 1.966156773765868968e-04 2.063069965427139218e-01 5.071809124938745361e-01 -2.621990802254003938e-03 -1.945399041858308703e-03
1.027316276441502474e+01 1.982509759591273102e-04 2.065167558068942422e-01 5.073365444172232008e-01 -2.821368383365551857e-03 1.307670416395012580e-04
1.027320273072682433e+01 1.977027246846067149e-04 2.067424652775634863e-01 5.073260830538920407e-01 1.346414002512119406e-03 1.085047252047388611e-03
1.027328023108511879e+01 1.973355960288684658e-04 2.066347521573625168e-01 5.072392792737282496e-01 -4.642458684145367442e-03 -3.824207261970968396e-03
1.027319772775408957e+01 1.998552687790326168e-04 2.070061488520941462e-01 5.075452158546859271e-01 -1.340854538511848442e-03 -5.023634841450075328e-04
1.027337579906644827e+01 1.972163445296852482e-04 2.071134172151750941e-01 5.075854049334175278e-01 3.797008218953123581e-03 3.057222031088713265e-04
1.027334602982522327e+01 1.952714010549307826e-04 2.068096565576588441e-01 5.075609471571688180e-01 -4.727178648522566986e-04 2.292382461632769264e-03
1.027321537643635807e+01 1.954522633752612550e-04 2.068474739868470247e-01 5.073775565602381965e-01 -1.150103656755163684e-03 5.907365263624342333e-04
