# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
1.052511252835837929e+01 2.977534182754331088e-04 4.919999999999999929e-01 4.047000000000000042e-01 1.330509036279181431e-05 3.039598617249339007e-03
1.052517522033158848e+01 2.943973525077155703e-04 4.919989355927709695e-01 4.044568321106200570e-01 -4.658531338463944307e-04 1.923136672132841124e-03
1.052585597771168935e+01 2.962257470179805179e-04 4.920362038434786811e-01 4.043029811768494297e-01 1.352749023908472736e-04 1.183261844062144519e-03
1.052597305122190541e+01 3.019005995194623060e-04 4.920253818512874133e-01 4.042083202293244582e-01 -1.801987892235956408e-04 5.665860491887996474e-03
1.052536322214408138e+01 2.951711335081966823e-04 4.920397977544253010e-01 4.037550513899734184e-01 -7.590021056103067902e-04 2.816438637864848715e-04
1.052583554449354963e+01 2.944306840686910544e-04 4.921005179228741255e-01 4.037325198808704996e-01 -4.284116172925677714e-04 -1.581891417856695408e-03
1.052579791567814382e+01 2.962058132478030442e-04 4.921347908522575310e-01 4.038590711942990352e-01 3.926796665609799675e-05 -9.625402697110984089e-04
1.052569858355697185e+01 2.987099153052884064e-04 4.921316494149250431e-01 4.039360744158759231e-01 -1.661733861624270232e-04 -2.230562046179329627e-03
1.052580756432831244e+01 2.974353652649754120e-04 4.921449432858180373e-01 4.041145193795702695e-01 3.114909219448236399e-04 -2.037987201219948474e-03
1.052540760110116835e+01 2.947387299501548008e-04 4.921200240120624514e-01 4.042775583556678654e-01 3.968828821143687859e-04 4.937594866305516916e-03
1.052570257966385903e+01 3.044179007004616661e-04 4.920882733814933019e-01 4.038825507663634240e-01 4.735124292665204306e-04 -1.372519875530997355e-05
1.052529328382116880e+01 2.969046742646459769e-04 4.920503923871519802e-01 4.038836487822638488e-01 -8.280423458018048048e-04 -3.756925437414792689e-03
1.052571680091443795e+01 2.948580635938599973e-04 4.921166357748161246e-01 4.041842028172570322e-01 1.251452275141673454e-04 2.069335103271896514e-03
1.052572989854846952e+01 2.966874228515169990e-04 4.921066241566149913e-01 4.040186560089952805e-01 -1.025244600327823719e-03 -2.956856270941443220e-03
1.052563582704360101e+01 2.958815110774266443e-04 4.921886437246412171e-01 4.042552045106705960e-01 8.932627082458565208e-04 4.200552439215243794e-03
1.052536537486196089e+01 2.971174364469629427e-04 4.921171827079815486e-01 4.039191603155333765e-01 -2.278341071360045773e-04 1.851992159629389572e-03
1.052509827664990283e+01 2.970353222002371034e-04 4.921354094365524290e-01 4.037710009427630253e-01 -1.170555208318546512e-04 -1.758505163707013491e-03
1.052567935373364705e+01 2.968897371499593422e-04 4.921447738782189774e-01 4.039116813558595864e-01 1.296827534247313451e-04 1.789021553122438274e-03
1.052562373872242141e+01 2.979003092288108829e-04 4.921343992579449989e-01 4.037685596316097913e-01 -7.352907616109404269e-04 -2.043851665689544461e-03
1.052563109714203193e+01 2.981441790943316198e-04 4.921932225188738741e-01 4.039320677648649549e-01 -3.241661161723641271e-04 9.293069425098109430e-04
1.052571126660888723e+01 2.964316126065914803e-04 4.922191558081676632e-01 4.038577232094641700e-01 2.268723875431532817e-04 -2.836461732158567905e-03
1.052539944325070920e+01 2.956032242928807860e-04 4.922010060171642110e-01 4.040846401480368555e-01 -1.393798854110173124e-04 4.032525957597954402e-03
1.052576088185294267e+01 2.968916443012373902e-04 4.922121564079970923e-01 4.037620380714290191e-01 -5.738055364190586261e-04 1.027838081313348084e-03
1.052616725714311485e+01 2.977070600074582319e-04 4.922580608509106170e-01 4.036798110249239513e-01 -7.322009665244876312e-04 -5.462167962377860973e-03
1.052641617683241648e+01 2.947623220487218454e-04 4.923166369282325761e-01 4.041167844619141802e-01 4.162805211649355810e-04 8.387070593585120885e-04
1.052591638585847811e+01 2.944237543185725396e-04 4.922833344865393812e-01 4.040496878971654993e-01 -1.819906003674986734e-04 2.347817762426984700e-03
1.052564564540237768e+01 2.955907912655748523e-04 4.922978937345687811e-01 4.038618624761713405e-01 1.335379806732817087e-04 -1.421074280472111933e-03
1.052604875126339223e+01 3.006105430257842610e-04 4.922872106961149186e-01 4.039755484186091095e-01 5.681338066665375663e-04 6.968500443349511268e-04
1.052562472889011858e+01 2.969551540009629747e-04 4.922417599915815956e-01 4.039198004150623134e-01 -4.724489244267715007e-04 -3.682145433003824585e-03
1.052579955176102366e+01 2.947886963626201659e-04 4.922795559055357373e-01 4.042143720497026194e-01 -6.922972417555682849e-04 2.174020252709851775e-03
1.052579404034728583e+01 2.956032537664564385e-04 4.923349396848761828e-01 4.040404504294858312e-01 6.696724952348630548e-04 2.213730709854644374e-03
1.052549979091589805e+01 2.977730439470783271e-04 4.922813658852573937e-01 4.038633519726974597e-01 -6.876858194004852346e-04 -3.273848925289257316e-03
1.052561356182482299e+01 2.964610288244328372e-04 4.923363807508094325e-01 4.041252598867206003e-01 -1.592788123616628582e-05 2.973574098064090798e-03
1.052536650695487452e+01 2.964994249766787207e-04 4.923376549813083258e-01 4.038873739588754730e-01 -5.083334642108638946e-04 -1.797387128021909813e-03
1.052588688186317256e+01 2.999418309183727563e-04 4.923783216584451949e-01 4.040311649291172258e-01 -4.133394071459405863e-04 1.300159091499608621e-03
1.052585428140172930e+01 2.953114115509473795e-04 4.924113888110168702e-01 4.039271522017972571e-01 3.267194514933180471e-04 3.785390134680710183e-03
1.052534879286772806e+01 2.957836023902051924e-04 4.923852512548974047e-01 4.036243209910228003e-01 -9.894364438878255896e-04 1.434012020240515994e-04
1.052572364067163591e+01 2.968455223686584281e-04 4.924644061704084308e-01 4.036128488948608761e-01 4.070390247079557779e-04 -2.065750237534302598e-04
1.052509970965932595e+01 2.978649624334266349e-04 4.924318430484317943e-01 4.036293748967611505e-01 -3.472823806305313523e-04 -3.660603198341049868e-03
1.052569755312236310e+01 2.940625435283409782e-04 4.924596256388822368e-01 4.039222231526284346e-01 -3.884345289861811947e-04 -2.340025062608219741e-03
1.052571939445104832e+01 2.984635269719635754e-04 4.924907004012011313e-01 4.041094251576370922e-01 3.722666619410119350e-04 4.144382437232252414e-03
1.052498996256909258e+01 2.979549220466574098e-04 4.924609190682458504e-01 4.037778745626585120e-01 3.573159546021997812e-05 1.489386569630823725e-03
1.052509865315715309e+01 2.972549233856889260e-04 4.924580605406090328e-01 4.036587236370880460e-01 -1.012369921227218583e-03 -4.734236647152556543e-03
1.052562842977951973e+01 2.944996589525211163e-04 4.925390501343072103e-01 4.040374625688602506e-01 2.273051080692311827e-04 5.106040035229852947e-03
1.052561930892434461e+01 2.986169277720333816e-04 4.925208657256616718e-01 4.036289793660418623e-01 3.178346474896898144e-05 4.134870934535683773e-03
1.052609455784388715e+01 3.014342318636795159e-04 4.925183230484817543e-01 4.032981896912790076e-01 -1.042360864289548636e-04 -3.761631184318047893e-03
1.052552513455585803e+01 2.967196266794658917e-04 4.925266619353960706e-01 4.035991201860244515e-01 -5.186597817896654306e-04 -3.514465163334534303e-03
1.052560358246087624e+01 3.004279812640933385e-04 4.925681547179392439e-01 4.038802773990912143e-01 -9.476535112185046099e-04 -4.437641010213155823e-03
1.052537755872631209e+01 2.978009998679390156e-04 4.926439669988367243e-01 4.042352886799082667e-01 -7.662833922950084168e-04 8.527374362188310268e-04
1.052533010348650144e+01 3.022731897199640067e-04 4.927052696702203249e-01 4.041670696850107602e-01 -3.527381053913813415e-04 -1.227065027364915295e-03
1.052533528665577123e+01 2.959162329400817377e-04 4.927334887186516355e-01 4.042652348871999535e-01 5.194383589923745603e-04 4.773564299398458388e-03
1.052542191714478115e+01 3.009425211352823948e-04 4.926919336499322455e-01 4.038833497432480768e-01 -5.048045537137113570e-04 -4.465534786390890076e-03
1.052572430558287664e+01 2.978140633600993717e-04 4.927323180142293424e-01 4.042405925261593480e-01 9.201649220358375540e-04 7.569423310371802514e-03
1.052572673805695480e+01 2.967778794135988215e-04 4.926587048204664754e-01 4.036350386613296037e-01 2.079168837099132090e-04 -8.925184147301478159e-04
1.052582648446218094e+01 2.969715716373857420e-04 4.926420714697696823e-01 4.037064401345080156e-01 -6.081631198640025104e-04 -9.796659483640723920e-04
1.052587398383596629e+01 2.946542862788683291e-04 4.926907245193588025e-01 4.037848134103771414e-01 -5.952824011501434143e-04 -3.357489752886521749e-03
1.052571110424166179e+01 2.957039835906552917e-04 4.927383471114508140e-01 4.040534125906080631e-01 3.144583260450417583e-04 4.320427038351226656e-03
1.052530142235431931e+01 2.993868064705229137e-04 4.927131904453672107e-01 4.037077784275399650e-01 -5.867057950581511250e-04 -2.029112877721672432e-04
1.052579957355311890e+01 2.961805314915979116e-04 4.927601269089718627e-01 4.037240113305617384e-01 -4.893944804962302442e-04 -4.636000205948676012e-03
1.052586101039690547e+01 2.962052755915608169e-04 4.927992784674115612e-01 4.040948913470376325e-01 -1.022378626203135219e-04 2.053316983108288696e-03
1.052578167382266194e+01 2.977537882388139488e-04 4.928074574964211862e-01 4.039306259883889694e-01 -6.451434941823208646e-04 -1.601380006377439496e-03
1.052594921113306725e+01 2.960511976179261212e-04 4.928590689759557719e-01 4.040587363888991645e-01 4.636806494318079243e-04 6.230239435467410658e-04
1.052564127510497194e+01 2.953037727314836332e-04 4.928219745240012273e-01 4.040088944734154253e-01 9.924672639272102970e-04 5.440196737538371095e-03
1.052566515859059848e+01 2.962092651556368366e-04 4.927425771428870505e-01 4.035736787344123555e-01 4.097007177961131674e-05 4.897423266925216012e-03
1.052585771833119743e+01 2.979543012422256228e-04 4.927392995371446816e-01 4.031818848730583382e-01 -2.984155145213662424e-05 -2.004640720087991212e-03
1.052535366979373066e+01 2.964666535762163174e-04 4.927416868612608525e-01 4.033422561306653775e-01 2.388405917486124692e-04 -4.191832481126311905e-03
1.052549194853360603e+01 2.977331033003419712e-04 4.927225796139209635e-01 4.036776027291554825e-01 1.460435328226594720e-04 -2.157498002475222165e-03
1.052567150318770928e+01 3.030200089838698367e-04 4.927108961312951507e-01 4.038502025693535002e-01 8.752074620588244679e-05 2.960151945785582505e-03
1.052563493443792630e+01 2.975894019361004098e-04 4.927038944715986801e-01 4.036133904136906536e-01 1.375356717403519724e-04 1.675548766399969974e-03
1.052503893918795974e+01 2.966570369714719747e-04 4.926928916178594520e-01 4.034793465123786560e-01 -3.058028497093800979e-04 -1.112812064718582405e-03
1.052580925356446251e+01 2.971043018512719712e-04 4.927173558458362024e-01 4.035683714775561426e-01 -9.033668035840490855e-04 -2.726727821311669252e-03
1.052532244266713946e+01 2.996805365783018413e-04 4.927896251901229263e-01 4.037865097032610762e-01 -1.135988902944973233e-03 -6.190488122115310986e-03
1.052552065115553859e+01 2.968874206643310246e-04 4.928805043023585242e-01 4.042817487530303011e-01 1.043202857431424355e-04 3.938074755183151865e-03
1.052560652748881331e+01 3.009295292699693957e-04 4.928721586794990728e-01 4.039667027726156490e-01 5.084018539491808042e-04 8.757869096598368567e-04
1.052542950212528439e+01 2.925006408775815891e-04 4.928314865311831383e-01 4.038966398198428620e-01 -5.267962066568543378e-04 3.678723103917035954e-04
1.052496416095204523e+01 2.965250424075540421e-04 4.928736302277156867e-01 4.038672100350115257e-01 -1.254701054165252572e-03 -1.811590699674070276e-03
