# energy_now energy_error b_upup b_updown derivative_upup derivative_updown
1.497545633146160426e+01 3.111339745234867056e-04 2.245999999999999941e-01 5.294999999999999707e-01 3.847878815577132194e-03 7.083961861553688365e-03
1.497514982388862670e+01 3.115823493014871211e-04 2.242921696947538235e-01 5.289332830510756756e-01 -3.340622001246628683e-04 -1.963909213031911349e-03
1.497525509763802276e+01 3.132688587327477352e-04 2.243188946707637965e-01 5.290903957881182285e-01 -1.002216265533206752e-03 -1.685458350664248211e-03
1.497555930591830098e+01 3.095837544077051362e-04 2.243990719720064531e-01 5.292252324561713683e-01 -2.769751361597627259e-03 -2.187793057828457677e-03
1.497555879405115142e+01 3.107836412544937011e-04 2.246206520809342633e-01 5.294002559007976449e-01 2.633994888867619011e-03 3.988652608200027316e-03
1.497556592925544194e+01 3.102260126298764546e-04 2.244099324898248538e-01 5.290811636921416428e-01 -6.498380500374878466e-04 -3.168896256511288378e-03
1.497561098372243293e+01 3.143920453167093503e-04 2.244619195338278528e-01 5.293346753926625459e-01 2.417214517436150345e-03 4.306400747111638339e-03
1.497537261222394278e+01 3.180471059542904931e-04 2.242685423724329608e-01 5.289901633328936148e-01 -2.327904446985940012e-03 -8.445887544894502578e-04
1.497587705202336039e+01 3.142020147362436632e-04 2.244547747281918360e-01 5.290577304332527708e-01 -2.403565346753566429e-04 1.324939447044926055e-03
1.497583733380837145e+01 3.120900206557759740e-04 2.244740032509658645e-01 5.289517352774891767e-01 4.987224855312888394e-04 -1.335976662630855571e-04
1.497606627319947847e+01 3.117509221364762428e-04 2.244341054521233614e-01 5.289624230907902236e-01 2.595488268752887961e-04 -1.277576267000313237e-03
1.497513564088858296e+01 3.108965136401077274e-04 2.244133415459733383e-01 5.290646291921502486e-01 1.311883579546702094e-03 1.283144612784781202e-03
1.497528825612499759e+01 3.122420309628381519e-04 2.243083908596096021e-01 5.289619776231274662e-01 -1.966893847793471650e-03 -6.562174803548259661e-04
1.497570755261564734e+01 3.121713608065646690e-04 2.244657423674330798e-01 5.290144750215558522e-01 1.310284147848506109e-03 2.660267384158032222e-03
1.497622686047665752e+01 3.111430558496731925e-04 2.243609196356051994e-01 5.288016536308232096e-01 -2.950947219915178287e-03 -1.215969547274653315e-04
1.497535395378576517e+01 3.122321670461479797e-04 2.245969954131984136e-01 5.288113813872014068e-01 -8.614303936838040325e-04 -7.549191494149453145e-04
